NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
1,"A TUNE ENTERPRISE",G1,PERAK,MANJUNG, 01-74273256, -, Yes, Yes, Yes
2,"A WANG ENTERPRISE",G1,PERAK,MANJUNG, 056881900, 056881900, Yes, Yes, Yes
3,"A&R MARINE TECHNIQUE SOLUTION",G1,PERAK,MANJUNG, 01-93925328, , Yes, Yes, Yes
4,"ABDUL AZIZ BIN ISHAK",G1,PERAK,MANJUNG, 0124575778, 056792587, Yes, Yes, Yes
5,"ABDUL KADIR BITAN ENTERPRISE",G1,PERAK,MANJUNG, 01-75589189, -, Yes, Yes, Yes
6,"ABDUL RANI BIN ABDUL RASHID",G1,PERAK,MANJUNG, 0125753248, -, Yes, Yes, Yes
7,"ABM NETWORK SERVICES",G1,PERAK,MANJUNG, 05-6911658, 06-6912815, Yes, Yes, Yes
8,"ABN PELANGI INDAH ENTERPRISE",G1,PERAK,MANJUNG, 056920115, 056889548, Yes, Yes, Yes
9,"AC PRO ENTERPRISE",G1,PERAK,MANJUNG, 01-72607881, , Yes, Yes, Yes
10,"ACE EMPIRE DNA SDN. BHD.",G1,PERAK,MANJUNG, 01-95144224, , Yes, Yes, Yes
11,"ADALIA LEKIR ENTERPRISE",G1,PERAK,MANJUNG, 01-11400463, 0, Yes, Yes, Yes
12,"ADAMAX ENGINEERING",G1,PERAK,MANJUNG, 01-12154934, , Yes, , 
13,"ADANZ TWO U ENTERPRISE",G1,PERAK,MANJUNG, 01-72893149, , Yes, Yes, Yes
14,"ADEENA ARUS ENTERPRISE",G1,PERAK,MANJUNG, 01-42426291, , Yes, Yes, Yes
15,"ADEL JAYA ENTERPRISE",G1,PERAK,MANJUNG, 01-25480455, , Yes, Yes, Yes
16,"ADIFINA ENTERPRISE",G1,PERAK,MANJUNG, 0195747196, -, Yes, Yes, Yes
17,"AFENDY RESTU ENTERPRISE",G1,PERAK,MANJUNG, 0, , Yes, Yes, Yes
18,"AG INDAH RIA ENTERPRISE",G1,PERAK,MANJUNG, 0125128672, , Yes, , 
19,"AGENDA INDAH",G1,PERAK,MANJUNG, 05-6917701, , Yes, Yes, Yes
20,"AGENDA JUANG ENTERPRISE",G1,PERAK,MANJUNG, 01-82587611, , Yes, Yes, Yes
21,"AHLAMI ENTERPRISE",G1,PERAK,MANJUNG, 01-95783515, 056881529, Yes, Yes, Yes
22,"AHLI BENA DUA",G1,PERAK,MANJUNG, 01-95741992, 0, Yes, Yes, Yes
23,"AHM GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-92356084, , Yes, Yes, Yes
24,"AHZA ATMA ENTERPRISE",G1,PERAK,MANJUNG, 01-65609142, , Yes, Yes, Yes
25,"AI FACILITIES MANAGEMENT",G1,PERAK,MANJUNG, 0165345534, , Yes, Yes, 
26,"AIE MULTI RESOURCES",G1,PERAK,MANJUNG, 0, , Yes, Yes, 
27,"AIM LEGACY",G1,PERAK,MANJUNG, 01-46558007, , Yes, Yes, Yes
28,"AJMAR ENTERPRISE",G1,PERAK,MANJUNG, 01-11253314, , Yes, Yes, Yes
29,"AJMAR RESOURCES",G1,PERAK,MANJUNG, 01-65403153, , Yes, Yes, Yes
30,"AKMAL RESTU ENTERPRISE",G1,PERAK,MANJUNG, 01-87569423, , Yes, Yes, Yes
31,"AL AJIS EMPIRE",G1,PERAK,MANJUNG, 01-95119556, , Yes, Yes, Yes
32,"ALAF NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-35734548, , Yes, Yes, Yes
33,"ALAMANDA ENTERPRISE",G1,PERAK,MANJUNG, 05-6881075, 056881075, Yes, Yes, Yes
34,"ALIEKA ENTERPRISE",G1,PERAK,MANJUNG, 01-35937702, , Yes, Yes, Yes
35,"ALIF NIAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-95714917, , Yes, Yes, Yes
36,"ALIFROSLAN RESOURCES",G1,PERAK,MANJUNG, 01-83242838, , Yes, Yes, Yes
37,"ALIRAN MEGA SERVICES",G1,PERAK,MANJUNG, 01124181334, , Yes, Yes, Yes
38,"ALL ONZ GLOBAL",G1,PERAK,MANJUNG, 01-32888842, , Yes, Yes, Yes
39,"ALLIFFIQ ENTERPRISE",G1,PERAK,MANJUNG, 01-95000882, , Yes, Yes, Yes
40,"AMAKO ENTERPRISE",G1,PERAK,MANJUNG, 01139666788, , Yes, , 
41,"AMAN LEKIR ENTERPRISE",G1,PERAK,MANJUNG, 01-95741500, , Yes, Yes, Yes
42,"AMHAZ ENTERPRISE",G1,PERAK,MANJUNG, 0123648406, , Yes, Yes, Yes
43,"AMIA RESOURCES",G1,PERAK,MANJUNG, 01-93234301, , Yes, Yes, Yes
44,"AMIN IDERIS RESOURCES",G1,PERAK,MANJUNG, 01-94726805, , Yes, Yes, Yes
45,"AMIREX ENTERPRISE",G1,PERAK,MANJUNG, 01-34191625, , Yes, Yes, Yes
46,"AMISYA ENTERPRISE",G1,PERAK,MANJUNG, 01-32199232, , Yes, Yes, Yes
47,"AMR PRESTIGE ENTERPRISE",G1,PERAK,MANJUNG, 01-94002172, , Yes, Yes, Yes
48,"ANAK MUDA",G1,PERAK,MANJUNG, 01-78464018, 056886420, Yes, Yes, Yes
49,"ANG BOON BENG ENGINEERING WORKS",G1,PERAK,MANJUNG, 05-6777740, , Yes, , 
50,"ANGAH SYAMIL ENTERPRISE",G1,PERAK,MANJUNG, 01-25128885, , Yes, Yes, Yes
51,"ANIS IDEA VENTURE",G1,PERAK,MANJUNG, 01-93350131, 0, Yes, Yes, Yes
52,"ANJU BUMI ENTERPRISE",G1,PERAK,MANJUNG, 01-95739337, , Yes, Yes, Yes
53,"ANZA BUDI ENTERPRISE",G1,PERAK,MANJUNG, 01-14077590, , Yes, Yes, Yes
54,"AO HAFAZA CONSTRUCTION",G1,PERAK,MANJUNG, 01-34681395, , Yes, Yes, Yes
55,"AO MILLENNIUM CONSTRUCTION",G1,PERAK,MANJUNG, 01-05690985, , Yes, Yes, Yes
56,"APEH MAJU RESOURCES",G1,PERAK,MANJUNG, 01-11253314, , Yes, Yes, Yes
57,"AQURATUU EMPIRE WORLD",G1,PERAK,MANJUNG, 01-63694024, , Yes, Yes, Yes
58,"AR MAJU LEGACY",G1,PERAK,MANJUNG, 01-84094779, , Yes, Yes, Yes
59,"AR RAWDAH SUPPLY AND SERVICES",G1,PERAK,MANJUNG, 05-6914195, -, Yes, Yes, Yes
60,"AR REEZKI RAUDHAH ENTERPRISE",G1,PERAK,MANJUNG, 01-11440829, , Yes, Yes, Yes
61,"ARIFJAMAL ENTERPRISE",G1,PERAK,MANJUNG, 01-13788181, , Yes, Yes, Yes
62,"ARMADA SHIFAA ENTERPRISE",G1,PERAK,MANJUNG, 01-34887940, , Yes, Yes, Yes
63,"ARUS SAMUDERA RESOURCES",G1,PERAK,MANJUNG, 01-42404847, , Yes, Yes, Yes
64,"ARUS SAMUDERA SDN. BHD.",G1,PERAK,MANJUNG, 05-6881258, 05-6881207, Yes, Yes, Yes
65,"ARUS TENAGA ENTERPRISE",G1,PERAK,MANJUNG, 01-43471012, , Yes, Yes, Yes
66,"ARUZA JAYA ENTERPRISE",G1,PERAK,MANJUNG, 0195743325, -, Yes, Yes, Yes
67,"ARUZZ NIAGA",G1,PERAK,MANJUNG, 01-35290638, , Yes, Yes, Yes
68,"ARWANA EMAS",G1,PERAK,MANJUNG, 056834976, 056834976, Yes, Yes, Yes
69,"ARWANA EMAS ENTERPRISE",G1,PERAK,MANJUNG, 01-24576332, , Yes, Yes, Yes
70,"ASAP LEGACY",G1,PERAK,, 0193901370, , Yes, Yes, Yes
71,"ASAS TUNJANG ENTERPRISE",G1,PERAK,MANJUNG, 056889970, 056889970, Yes, Yes, Yes
72,"ASBAMA ENTERPRISE",G1,PERAK,MANJUNG, -, -, Yes, Yes, Yes
73,"ASE VENTURE SDN. BHD.",G1,PERAK,MANJUNG, 01-24670273, , Yes, Yes, Yes
74,"ASHUAN ENTERPRISE",G1,PERAK,MANJUNG, 01-95737050, -, Yes, Yes, Yes
75,"ASM SERVICES ENTERPRISE",G1,PERAK,MANJUNG, 01-75810378, , Yes, Yes, Yes
76,"ASPIRASI ARMADA ENTERPRISE",G1,PERAK,MANJUNG, 05-6889711, , Yes, Yes, Yes
77,"ASQ RIZQI EMPIRE",G1,PERAK,MANJUNG, 01-95923078, , Yes, Yes, Yes
78,"ASSHAHAS ENTERPRISE",G1,PERAK,MANJUNG, 01-75721020, 0, Yes, Yes, Yes
79,"ASTAKA BAKTI ENTERPRISE",G1,PERAK,MANJUNG, 01-25757599, , Yes, Yes, Yes
80,"ASYRAAF 03 GLOBAL ENTERPRISE",G1,PERAK,MANJUNG, 01-99546695, , Yes, Yes, Yes
81,"ATTAN HARDWARE & TOOLS SUPPLY SDN. BHD.",G1,PERAK,MANJUNG, 056883297, -, Yes, Yes, Yes
82,"AUFA ENTERPRISE",G1,PERAK,MANJUNG, 056791217, 056924243, Yes, Yes, Yes
