NO.,NAMA KONTRAKTOR, GRED, NEGERI, DAERAH, NO. TELEFON, NO. FAKS, PPK, SPKK, STB
1,A WANG ENTERPRISE,G1,PERAK,MANJUNG,56881900,56881900, Yes, Yes, Yes
2,ABDUL AZIZ BIN ISHAK,G1,PERAK,MANJUNG,124575778,56792587, Yes, Yes, Yes
3,ABDUL KADIR BITAN ENTERPRISE,G1,PERAK,MANJUNG, 01-75589189, -, Yes, Yes, Yes
4,ABDUL RANI BIN ABDUL RASHID,G1,PERAK,MANJUNG,125753248, -, Yes, Yes, Yes
5,ABM NETWORK SERVICES,G1,PERAK,MANJUNG, 05-6911658, 06-6912815, Yes, Yes, Yes
6,ABN PELANGI INDAH ENTERPRISE,G1,PERAK,MANJUNG,56920115,56889548, Yes, Yes, Yes
7,ADIFINA ENTERPRISE,G1,PERAK,MANJUNG,195747196, -, Yes, Yes, Yes
8,AGENDA JUANG ENTERPRISE,G1,PERAK,MANJUNG, 01-82587611, , Yes, Yes, Yes
9,AHLAMI ENTERPRISE,G1,PERAK,MANJUNG, 01-95783515,56881529, Yes, Yes, Yes
10,AHLI BENA DUA,G1,PERAK,MANJUNG, 01-95741992,0, Yes, Yes, Yes
11,AJMAR ENTERPRISE,G1,PERAK,MANJUNG, 01-11253314, , Yes, Yes, Yes
12,AKMAL RESTU ENTERPRISE,G1,PERAK,MANJUNG, 01-87569423, , Yes, Yes, Yes
13,ALAMANDA ENTERPRISE,G1,PERAK,MANJUNG, 05-6881075,56881075, Yes, Yes, Yes
14,ALIEKA ENTERPRISE,G1,PERAK,MANJUNG, 01-35937702, , Yes, Yes, Yes
15,ALIRAN MEGA SERVICES,G1,PERAK,MANJUNG,1124181334, , Yes, Yes, Yes
16,ALLIFFIQ ENTERPRISE,G1,PERAK,MANJUNG, 01-95000882, , Yes, Yes, Yes
17,AMAN LEKIR ENTERPRISE,G1,PERAK,MANJUNG, 01-95741500, , Yes, Yes, Yes
18,AMIA RESOURCES,G1,PERAK,MANJUNG, 01-93234301, , Yes, Yes, Yes
19,AMIN IDERIS RESOURCES,G1,PERAK,MANJUNG, 01-94726805, , Yes, Yes, Yes
20,ANIS IDEA VENTURE,G1,PERAK,MANJUNG, 01-93350131,0, Yes, Yes, Yes
21,AO HAFAZA CONSTRUCTION,G1,PERAK,MANJUNG, 01-34681395, , Yes, Yes, Yes
